,Algoritmo,Métrica,Valor
63,RedeNeural,MAE,4178.918473903949
64,RedeNeural,MAE,4401.851620747493
65,RedeNeural,MAE,4771.433873690092
66,RedeNeural,MAE,5596.708811026353
67,RedeNeural,MAE,5598.442925783304
68,RedeNeural,MAE,5598.221213744237
69,RedeNeural,MAE,5606.4762531885735
70,RedeNeural,MAE,5606.662701808489
71,RedeNeural,MAE,5606.452642633365
72,RedeNeural,MAE,1785.2695981539214
73,RedeNeural,MAE,1804.568386371319
74,RedeNeural,MAE,1780.104617192195
75,RedeNeural,MAE,5583.440431154691
76,RedeNeural,MAE,5584.304411704724
77,RedeNeural,MAE,5584.952769939716
78,RedeNeural,MAE,5600.521774842189
79,RedeNeural,MAE,5599.494754002644
80,RedeNeural,MAE,5599.632268557181
81,RedeNeural,MAE,5371.872815636488
82,RedeNeural,MAE,5359.6301948061355
83,RedeNeural,MAE,5325.338390801961
84,RedeNeural,MAE,5563.663449837612
85,RedeNeural,MAE,5561.037471917959
86,RedeNeural,MAE,5563.4681435731745
87,RedeNeural,MAE,5569.518798864805
88,RedeNeural,MAE,5571.137230579669
89,RedeNeural,MAE,5568.539507829226
90,RedeNeural,MAE,5017.987449205839
91,RedeNeural,MAE,5019.540163819606
92,RedeNeural,MAE,4972.213725878642
93,RedeNeural,MAE,5512.999296775231
94,RedeNeural,MAE,5512.787616729736
95,RedeNeural,MAE,5513.941547467159
96,RedeNeural,MAE,5523.129592748789
97,RedeNeural,MAE,5523.707776876597
98,RedeNeural,MAE,5522.516192949735
99,RedeNeural,MAE,4380.031557339888
100,RedeNeural,MAE,4395.458461284637
101,RedeNeural,MAE,4330.1613942293025
102,RedeNeural,MAE,5415.755044350257
103,RedeNeural,MAE,5415.833484649658
104,RedeNeural,MAE,5414.184070587158
105,RedeNeural,MAE,5430.625415802002
106,RedeNeural,MAE,5430.022488520695
107,RedeNeural,MAE,5429.28134727478
108,RedeNeural,MAE,1995.2667739574727
109,RedeNeural,MAE,2007.0637076451228
110,RedeNeural,MAE,1984.0227269392747
111,RedeNeural,MAE,5565.209846679981
112,RedeNeural,MAE,5563.098289049589
113,RedeNeural,MAE,5564.102346383608
114,RedeNeural,MAE,5581.452349406022
115,RedeNeural,MAE,5576.326754716726
116,RedeNeural,MAE,5584.098441967597
117,RedeNeural,MAE,1931.4552635779748
118,RedeNeural,MAE,1932.1545961820161
119,RedeNeural,MAE,1861.979256263146
120,RedeNeural,MAE,5515.85969543457
121,RedeNeural,MAE,5518.128744638883
122,RedeNeural,MAE,5518.602064279409
123,RedeNeural,MAE,5546.57478750669
124,RedeNeural,MAE,5559.376566116626
125,RedeNeural,MAE,5546.988357984103
126,RedeNeural,MAE,1759.0883577786958
127,RedeNeural,MAE,1772.745806180514
128,RedeNeural,MAE,1757.6242435161885
129,RedeNeural,MAE,5425.4495895092305
130,RedeNeural,MAE,5427.463587834285
131,RedeNeural,MAE,5428.569546772884
132,RedeNeural,MAE,5490.5277586716875
133,RedeNeural,MAE,5501.149934035081
134,RedeNeural,MAE,5500.976314251239
135,RedeNeural,MAE,1733.936542217548
136,RedeNeural,MAE,1695.3541641235352
137,RedeNeural,MAE,1653.9408622154822
138,RedeNeural,MAE,5564.867467109973
139,RedeNeural,MAE,5564.050678766691
140,RedeNeural,MAE,5564.111033182878
141,RedeNeural,MAE,5578.50133393361
142,RedeNeural,MAE,5578.75315948633
143,RedeNeural,MAE,5574.085628912999
144,RedeNeural,MAE,1736.4302315345178
145,RedeNeural,MAE,1700.0341661893403
146,RedeNeural,MAE,1662.970970740685
147,RedeNeural,MAE,5519.445899963379
148,RedeNeural,MAE,5519.660386232229
149,RedeNeural,MAE,5520.399089152997
150,RedeNeural,MAE,5550.409532767076
151,RedeNeural,MAE,5551.096928376418
152,RedeNeural,MAE,5548.626410631033
153,RedeNeural,MAE,1708.576161311223
154,RedeNeural,MAE,1703.342509343074
155,RedeNeural,MAE,1668.56541794997
156,RedeNeural,MAE,5429.762827653151
157,RedeNeural,MAE,5428.989937562209
158,RedeNeural,MAE,5431.813271155725
159,RedeNeural,MAE,5513.5019675768335
160,RedeNeural,MAE,5518.672325501075
161,RedeNeural,MAE,5505.927634312557
162,RedeNeural,MAE,1882.5848039480356
163,RedeNeural,MAE,1851.0215037419246
164,RedeNeural,MAE,1837.653309748723
165,RedeNeural,MAE,5160.004645420955
166,RedeNeural,MAE,5161.166735135592
167,RedeNeural,MAE,5159.622659536509
168,RedeNeural,MAE,5146.129141294039
169,RedeNeural,MAE,5150.314986008864
170,RedeNeural,MAE,5144.1984628530645
171,RedeNeural,MAE,1804.9301646305964
172,RedeNeural,MAE,1829.7446974240816
173,RedeNeural,MAE,1817.6570259974553
174,RedeNeural,MAE,4737.946900000939
175,RedeNeural,MAE,4732.047900860126
176,RedeNeural,MAE,4733.532308138334
177,RedeNeural,MAE,4714.841913663424
178,RedeNeural,MAE,4717.794513995831
179,RedeNeural,MAE,4708.801061776968
180,RedeNeural,MAE,1822.6826349405142
181,RedeNeural,MAE,1831.164307667659
182,RedeNeural,MAE,1825.1243625787588
183,RedeNeural,MAE,4114.378993107723
184,RedeNeural,MAE,4120.091508131761
185,RedeNeural,MAE,4118.1802978515625
186,RedeNeural,MAE,4092.529793372521
187,RedeNeural,MAE,4094.8601919320913
188,RedeNeural,MAE,4103.704065176157
189,RedeNeural,MAE,1721.7664703956018
190,RedeNeural,MAE,1684.4469974224385
191,RedeNeural,MAE,1671.6674297039326
192,RedeNeural,MAE,5170.513939784123
193,RedeNeural,MAE,5171.321741837722
194,RedeNeural,MAE,5179.2822500375605
195,RedeNeural,MAE,5327.799319340633
196,RedeNeural,MAE,5322.22543657743
197,RedeNeural,MAE,5306.760189349835
198,RedeNeural,MAE,1662.3895407456619
199,RedeNeural,MAE,1685.3147139916052
200,RedeNeural,MAE,1602.5008744459885
201,RedeNeural,MAE,4755.548389141376
202,RedeNeural,MAE,4756.144068791316
203,RedeNeural,MAE,4769.347110454853
204,RedeNeural,MAE,5102.921349158654
205,RedeNeural,MAE,5034.328070420485
206,RedeNeural,MAE,5072.969322791467
207,RedeNeural,MAE,1570.6273665794959
208,RedeNeural,MAE,1581.2282045804536
209,RedeNeural,MAE,1581.0567403940054
210,RedeNeural,MAE,4138.983482947717
211,RedeNeural,MAE,4143.611755371094
212,RedeNeural,MAE,4161.256643442007
213,RedeNeural,MAE,4689.001582805927
214,RedeNeural,MAE,4684.97819519043
215,RedeNeural,MAE,4706.685931865985
216,RedeNeural,MAE,1608.7743492126465
217,RedeNeural,MAE,1586.2538528442383
218,RedeNeural,MAE,1554.4457561786357
219,RedeNeural,MAE,5174.588799109826
220,RedeNeural,MAE,5167.544487586389
221,RedeNeural,MAE,5184.811943641076
222,RedeNeural,MAE,5234.331596961389
223,RedeNeural,MAE,5295.425407996545
224,RedeNeural,MAE,5307.441948523889
225,RedeNeural,MAE,1524.3069205650916
226,RedeNeural,MAE,1515.6810079721304
227,RedeNeural,MAE,1563.7921201265776
228,RedeNeural,MAE,4753.906367375301
229,RedeNeural,MAE,4753.48393366887
230,RedeNeural,MAE,4771.789455707257
231,RedeNeural,MAE,5078.556114783654
232,RedeNeural,MAE,5159.62487088717
233,RedeNeural,MAE,5075.811668982873
234,RedeNeural,MAE,1441.3238381605881
235,RedeNeural,MAE,1457.7014092665452
236,RedeNeural,MAE,1463.7697935837966
237,RedeNeural,MAE,4135.996398925781
238,RedeNeural,MAE,4140.605304424579
239,RedeNeural,MAE,4161.555598332332
240,RedeNeural,MAE,4691.4356525127705
241,RedeNeural,MAE,4716.425323486328
242,RedeNeural,MAE,4793.4581463153545
243,RedeNeural,RMSE,7676.808894740129
244,RedeNeural,RMSE,7677.974071277504
245,RedeNeural,RMSE,7678.792161540028
246,RedeNeural,RMSE,7679.2794764898335
247,RedeNeural,RMSE,7679.162802190122
248,RedeNeural,RMSE,7678.758673752398
249,RedeNeural,RMSE,7680.8669907111935
250,RedeNeural,RMSE,7681.165342112754
251,RedeNeural,RMSE,7680.379271430674
252,RedeNeural,RMSE,7675.616217659844
253,RedeNeural,RMSE,7674.012009809988
254,RedeNeural,RMSE,7675.129905800751
255,RedeNeural,RMSE,7675.6537853860955
256,RedeNeural,RMSE,7675.7946878392495
257,RedeNeural,RMSE,7675.419430701067
258,RedeNeural,RMSE,7677.529481011831
259,RedeNeural,RMSE,7677.720484388771
